Le Tampon;04;78366
Bourg-en-Bresse;84;43454
Laon;32;26031
Saint-Quentin;32;55940
Soissons;32;29417
Montluçon;84;37417
Gap;93;42567
Antibes;93;74982
Cagnes-sur-Mer;93;50385
Cannes;93;75046
Le Cannet;93;42056
Grasse;93;51705
Menton;93;28942
Nice;93;345998
Saint-Laurent-du-Var;93;28831
Vallauris;93;26787
Charleville-Mézières;44;48420
Troyes;44;61988
Carcassonne;76;47418
Narbonne;76;55001
Rodez;76;25747
Aix-en-Provence;93;146385
Arles;93;53807
Aubagne;93;45711
La Ciotat;93;35758
Istres;93;44248
Marignane;93;33949
Marseille;93;870018
Martigues;93;49310
Miramas;93;26217
Salon-de-Provence;93;46225
Vitrolles;93;34301
Caen;28;108461
Aurillac;84;27659
Angoulême;75;44629
La Rochelle;75;78623
Saintes;75;26890
Bourges;24;67841
Vierzon;24;27036
Brive-la-Gaillarde;75;48333
Ajaccio;94;70063
Bastia;94;45596
Dijon;27;159031
Saint-Brieuc;53;47058
Bergerac;75;28166
Périgueux;75;31505
Besançon;27;120107
Montbéliard;27;26015
Montélimar;84;39924
Romans-sur-Isère;84;34095
Valence;84;64322
Évreux;28;51560
Chartres;24;40195
Dreux;24;31575
Brest;53;142629
Quimper;53;66743
Alès;76;41129
Nîmes;76;154196
Colomiers;76;39200
Muret;76;25961
Toulouse;76;482738
Tournefeuille;76;27008
Bègles;75;28092
Bordeaux;75;256045
Gradignan;75;26029
Libourne;75;25491
Mérignac;75;71203
Pessac;75;62737
Saint-Médard-en-Jalles;75;31576
Talence;75;44040
La Teste-de-Buch;75;26525
Villenave-d'Ornon;75;33091
Agde;76;28120
Béziers;76;77894
Lunel;76;26263
Montpellier;76;286098
Sète;76;44271
Rennes;53;222104
Saint-Malo;53;47528
Châteauroux;24;45780
Joué-lès-Tours;24;37974
Tours;24;139963
Bourgoin-Jallieu;84;28399
Échirolles;84;36143
Grenoble;84;160836
Saint-Martin-d'Hères;84;38974
Vienne;84;30178
Mont-de-Marsan;75;31517
Blois;24;47524
Roanne;84;35913
Saint-Chamond;84;35969
Saint-Étienne;84;174298
Nantes;52;314611
Orvault;52;26618
Rezé;52;41808
Saint-Herblain;52;47502
Saint-Nazaire;52;72295
Saint-Sébastien-sur-Loire;52;27591
Orléans;24;118102
Agen;75;34565
Angers;52;155543
Cholet;52;55772
Saumur;52;28554
Sèvremoine;52;26239
Cherbourg-en-Cotentin;28;82578
Châlons-en-Champagne;44;46288
Reims;44;187074
Saint-Dizier;44;25666
Laval;52;52359
Nancy;44;106953
Vandœuvre-lès-Nancy;44;30502
Lorient;53;58789
Vannes;53;55573
Metz;44;119856
Thionville;44;41396
Nevers;27;34799
Armentières;32;25373
Cambrai;32;33349
Douai;32;40860
Dunkerque;32;89485
Lambersart;32;28027
Lille;32;236782
Marcq-en-Barœul;32;39697
Maubeuge;32;29995
Roubaix;32;96953
Tourcoing;32;98170
Valenciennes;32;44509
Villeneuve-d'Ascq;32;63085
Wattrelos;32;41570
Beauvais;32;57548
Compiègne;32;41660
Creil;32;36091
Alençon;28;27221
Arras;32;41973
Béthune;32;25753
